Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Casos de Teste Venda,Chrome 71.0.3578.98,"- Cadastro de venda pelo Menu\n- Cadastro de venda pelo bot\u00E3o \""Realizar Venda\""\n- Cancelar venda ap\u00F3s criar uma venda",2019-01-17 13:13:38,2019-01-17 13:15:36,"1m - 57,414s",PASSED
,,,,,,
Test Cases/Teste Venda/Teste_Cad_Venda_Menu,Chrome 71.0.3578.98,Teste cadastro de venda utilizando o caminho do menu de venda,2019-01-17 13:13:39,2019-01-17 13:14:19,"40,154s",PASSED
"callTestCase(findTestCase(""Teste Tela de Login/Teste Login Valido""), [:], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-17 13:13:40,2019-01-17 13:13:57,"17,239s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page Cancelar Venda/MenuVenda""))",Chrome 71.0.3578.98,,2019-01-17 13:13:57,2019-01-17 13:13:57,"0,241s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/SubMenuVenda""))",Chrome 71.0.3578.98,,2019-01-17 13:13:57,2019-01-17 13:13:57,"0,236s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page Cancelar Venda/Op_Venda""))",Chrome 71.0.3578.98,,2019-01-17 13:13:57,2019-01-17 13:13:58,"1,216s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/InserirNovaVenda""))",Chrome 71.0.3578.98,,2019-01-17 13:13:58,2019-01-17 13:13:59,"0,240s",PASSED
"waitForElementVisible(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/FormCadastro""), 0)",Chrome 71.0.3578.98,,2019-01-17 13:13:59,2019-01-17 13:13:59,"0,158s",PASSED
"selectOptionByValue(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Select_EscolhaFilial""), ""39"", false)",Chrome 71.0.3578.98,,2019-01-17 13:13:59,2019-01-17 13:14:00,"1,310s",PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-17 13:14:00,2019-01-17 13:14:01,"1,015s",PASSED
"selectOptionByValue(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Select_Escolha...Caixa""), ""1"", false)",Chrome 71.0.3578.98,,2019-01-17 13:14:01,2019-01-17 13:14:01,"0,201s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Bt_AvancaCad""))",Chrome 71.0.3578.98,,2019-01-17 13:14:01,2019-01-17 13:14:02,"0,156s",PASSED
"waitForElementPresent(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/SelecionarOpDeCliente""), 0)",Chrome 71.0.3578.98,,2019-01-17 13:14:02,2019-01-17 13:14:02,"0,080s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/SelecionaCelular""))",Chrome 71.0.3578.98,,2019-01-17 13:14:02,2019-01-17 13:14:02,"0,257s",PASSED
"setText(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/SetCampoCelular""), ""0000"")",Chrome 71.0.3578.98,,2019-01-17 13:14:02,2019-01-17 13:14:02,"0,395s",PASSED
"delay(2, STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-17 13:14:02,2019-01-17 13:14:04,"2,004s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/li_00 00000-0000 - Teste Katal""))",Chrome 71.0.3578.98,,2019-01-17 13:14:04,2019-01-17 13:14:04,"0,166s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/FormClienteClick""))",Chrome 71.0.3578.98,,2019-01-17 13:14:04,2019-01-17 13:14:05,"0,182s",PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-17 13:14:05,2019-01-17 13:14:06,"1,002s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Bt_AvancaCad""))",Chrome 71.0.3578.98,,2019-01-17 13:14:06,2019-01-17 13:14:06,"0,124s",PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-17 13:14:06,2019-01-17 13:14:07,"1,002s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/OpProduto""))",Chrome 71.0.3578.98,,2019-01-17 13:14:07,2019-01-17 13:14:07,"0,156s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/OpProdPorModelo""))",Chrome 71.0.3578.98,,2019-01-17 13:14:07,2019-01-17 13:14:07,"0,156s",PASSED
"setText(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/SetCampoModelo""), ""XT171"")",Chrome 71.0.3578.98,,2019-01-17 13:14:07,2019-01-17 13:14:08,"1,265s",PASSED
"delay(2, STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-17 13:14:08,2019-01-17 13:14:10,"2,002s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/li_Teste XT1710 Branco MOTOROL1""))",Chrome 71.0.3578.98,,2019-01-17 13:14:10,2019-01-17 13:14:10,"0,114s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Bt_Buscar""))",Chrome 71.0.3578.98,,2019-01-17 13:14:10,2019-01-17 13:14:11,"0,164s",PASSED
"waitForElementPresent(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/imgConfirmar""), 0)",Chrome 71.0.3578.98,,2019-01-17 13:14:11,2019-01-17 13:14:12,"1,594s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/imgConfirmar""))",Chrome 71.0.3578.98,,2019-01-17 13:14:12,2019-01-17 13:14:12,"0,152s",PASSED
acceptAlert(),Chrome 71.0.3578.98,,2019-01-17 13:14:12,2019-01-17 13:14:12,"0,042s",PASSED
delay(2),Chrome 71.0.3578.98,,2019-01-17 13:14:12,2019-01-17 13:14:14,"2,003s",PASSED
